Date,HomeTeam,AwayTeam,HG,AG,MATCH,temp,GoalDiff
13/08/11,Newcastle,Arsenal,0,0,D,0,0
14/08/11,West Brom,Man United,1,2,A,-1,1
20/08/11,Arsenal,Liverpool,0,2,A,-2,2
22/08/11,Man United,Tottenham,3,0,H,3,3
28/08/11,Man United,Arsenal,8,2,H,6,6
28/08/11,Tottenham,Man City,1,5,A,-4,4
10/9/2011,Arsenal,Swansea,1,0,H,1,1
10/9/2011,Bolton,Man United,0,5,A,-5,5
10/9/2011,Wolves,Tottenham,0,2,A,-2,2
17/09/11,Blackburn,Arsenal,4,3,H,1,1
18/09/11,Man United,Chelsea,3,1,H,2,2
18/09/11,Tottenham,Liverpool,4,0,H,4,4
24/09/11,Arsenal,Bolton,3,0,H,3,3
24/09/11,Stoke,Man United,1,1,D,0,0
24/09/11,Wigan,Tottenham,1,2,A,-1,1
1/10/2011,Man United,Norwich,2,0,H,2,2
2/10/2011,Tottenham,Arsenal,2,1,H,1,1
15/10/11,Liverpool,Man United,1,1,D,0,0
16/10/11,Arsenal,Sunderland,2,1,H,1,1
16/10/11,Newcastle,Tottenham,2,2,D,0,0
23/10/11,Arsenal,Stoke,3,1,H,2,2
23/10/11,Blackburn,Tottenham,1,2,A,-1,1
23/10/11,Man United,Man City,1,6,A,-5,5
29/10/11,Chelsea,Arsenal,3,5,A,-2,2
29/10/11,Everton,Man United,0,1,A,-1,1
30/10/11,Tottenham,QPR,3,1,H,2,2
5/11/2011,Arsenal,West Brom,3,0,H,3,3
5/11/2011,Man United,Sunderland,1,0,H,1,1
6/11/2011,Fulham,Tottenham,1,3,A,-2,2
19/11/11,Norwich,Arsenal,1,2,A,-1,1
19/11/11,Swansea,Man United,0,1,A,-1,1
21/11/11,Tottenham,Aston Villa,2,0,H,2,2
26/11/11,Arsenal,Fulham,1,1,D,0,0
26/11/11,Man United,Newcastle,1,1,D,0,0
26/11/11,West Brom,Tottenham,1,3,A,-2,2
3/12/2011,Aston Villa,Man United,0,1,A,-1,1
3/12/2011,Tottenham,Bolton,3,0,H,3,3
3/12/2011,Wigan,Arsenal,0,4,A,-4,4
10/12/2011,Arsenal,Everton,1,0,H,1,1
10/12/2011,Man United,Wolves,4,1,H,3,3
11/12/2011,Stoke,Tottenham,2,1,H,1,1
18/12/11,Man City,Arsenal,1,0,H,1,1
18/12/11,QPR,Man United,0,2,A,-2,2
18/12/11,Tottenham,Sunderland,1,0,H,1,1
21/12/11,Aston Villa,Arsenal,1,2,A,-1,1
21/12/11,Fulham,Man United,0,5,A,-5,5
22/12/11,Tottenham,Chelsea,1,1,D,0,0
26/12/11,Man United,Wigan,5,0,H,5,5
27/12/11,Arsenal,Wolves,1,1,D,0,0
27/12/11,Norwich,Tottenham,0,2,A,-2,2
31/12/11,Arsenal,QPR,1,0,H,1,1
31/12/11,Man United,Blackburn,2,3,A,-1,1
31/12/11,Swansea,Tottenham,1,1,D,0,0
2/1/2012,Fulham,Arsenal,2,1,H,1,1
3/1/2012,Tottenham,West Brom,1,0,H,1,1
4/1/2012,Newcastle,Man United,3,0,H,3,3
11/1/2012,Tottenham,Everton,2,0,H,2,2
14/01/12,Man United,Bolton,3,0,H,3,3
14/01/12,Tottenham,Wolves,1,1,D,0,0
15/01/12,Swansea,Arsenal,3,2,H,1,1
22/01/12,Arsenal,Man United,1,2,A,-1,1
22/01/12,Man City,Tottenham,3,2,H,1,1
31/01/12,Man United,Stoke,2,0,H,2,2
31/01/12,Tottenham,Wigan,3,1,H,2,2
1/2/2012,Bolton,Arsenal,0,0,D,0,0
4/2/2012,Arsenal,Blackburn,7,1,H,6,6
5/2/2012,Chelsea,Man United,3,3,D,0,0
6/2/2012,Liverpool,Tottenham,0,0,D,0,0
11/2/2012,Man United,Liverpool,2,1,H,1,1
11/2/2012,Sunderland,Arsenal,1,2,A,-1,1
11/2/2012,Tottenham,Newcastle,5,0,H,5,5
26/02/12,Arsenal,Tottenham,5,2,H,3,3
26/02/12,Norwich,Man United,1,2,A,-1,1
3/3/2012,Liverpool,Arsenal,1,2,A,-1,1
4/3/2012,Tottenham,Man United,1,3,A,-2,2
10/3/2012,Everton,Tottenham,1,0,H,1,1
11/3/2012,Man United,West Brom,2,0,H,2,2
12/3/2012,Arsenal,Newcastle,2,1,H,1,1
18/03/12,Wolves,Man United,0,5,A,-5,5
21/03/12,Everton,Arsenal,0,1,A,-1,1
21/03/12,Tottenham,Stoke,1,1,D,0,0
24/03/12,Arsenal,Aston Villa,3,0,H,3,3
24/03/12,Chelsea,Tottenham,0,0,D,0,0
26/03/12,Man United,Fulham,1,0,H,1,1
31/03/12,QPR,Arsenal,2,1,H,1,1
1/4/2012,Tottenham,Swansea,3,1,H,2,2
2/4/2012,Blackburn,Man United,0,2,A,-2,2
7/4/2012,Sunderland,Tottenham,0,0,D,0,0
8/4/2012,Arsenal,Man City,1,0,H,1,1
8/4/2012,Man United,QPR,2,0,H,2,2
9/4/2012,Tottenham,Norwich,1,2,A,-1,1
11/4/2012,Wigan,Man United,1,0,H,1,1
11/4/2012,Wolves,Arsenal,0,3,A,-3,3
15/04/12,Man United,Aston Villa,4,0,H,4,4
16/04/12,Arsenal,Wigan,1,2,A,-1,1
21/04/12,Arsenal,Chelsea,0,0,D,0,0
21/04/12,QPR,Tottenham,1,0,H,1,1
22/04/12,Man United,Everton,4,4,D,0,0
28/04/12,Stoke,Arsenal,1,1,D,0,0
29/04/12,Tottenham,Blackburn,2,0,H,2,2
30/04/12,Man City,Man United,1,0,H,1,1
2/5/2012,Bolton,Tottenham,1,4,A,-3,3
5/5/2012,Arsenal,Norwich,3,3,D,0,0
6/5/2012,Aston Villa,Tottenham,1,1,D,0,0
6/5/2012,Man United,Swansea,2,0,H,2,2
13/05/12,Sunderland,Man United,0,1,A,-1,1
13/05/12,Tottenham,Fulham,2,0,H,2,2
13/05/12,West Brom,Arsenal,2,3,A,-1,1
