Date,HomeTeam,AwayTeam,HG,AG,MATCH,temp,GoalDiff
17/08/13,Arsenal,Aston Villa,1,3,A,-2,2
9/1/2013,Arsenal,Tottenham,1,0,H,1,1
22/09/13,Arsenal,Stoke,3,1,H,2,2
19/10/13,Arsenal,Norwich,4,1,H,3,3
11/2/2013,Arsenal,Liverpool,2,0,H,2,2
23/11/13,Arsenal,Southampton,2,0,H,2,2
12/4/2013,Arsenal,Hull,2,0,H,2,2
12/8/2013,Arsenal,Everton,1,1,D,0,0
23/12/13,Arsenal,Chelsea,0,0,D,0,0
1/1/2014,Arsenal,Cardiff,2,0,H,2,2
18/01/14,Arsenal,Fulham,2,0,H,2,2
2/2/2014,Arsenal,Crystal Palace,2,0,H,2,2
2/12/2014,Arsenal,Man United,0,0,D,0,0
22/02/14,Arsenal,Sunderland,4,1,H,3,3
25/03/14,Arsenal,Swansea,2,2,D,0,0
29/03/14,Arsenal,Man City,1,1,D,0,0
15/04/14,Arsenal,West Ham,3,1,H,2,2
28/04/14,Arsenal,Newcastle,3,0,H,3,3
5/4/2014,Arsenal,West Brom,1,0,H,1,1
20/10/13,Aston Villa,Tottenham,0,2,A,-2,2
15/12/13,Aston Villa,Man United,0,3,A,-3,3
13/01/14,Aston Villa,Arsenal,1,2,A,-1,1
22/09/13,Cardiff,Tottenham,0,1,A,-1,1
24/11/13,Cardiff,Man United,2,2,D,0,0
30/11/13,Cardiff,Arsenal,0,3,A,-3,3
19/01/14,Chelsea,Man United,3,1,H,2,2
3/8/2014,Chelsea,Tottenham,4,0,H,4,4
22/03/14,Chelsea,Arsenal,6,0,H,6,6
18/08/13,Crystal Palace,Tottenham,0,1,A,-1,1
26/10/13,Crystal Palace,Arsenal,0,2,A,-2,2
22/02/14,Crystal Palace,Man United,0,2,A,-2,2
11/3/2013,Everton,Tottenham,0,0,D,0,0
4/6/2014,Everton,Arsenal,3,0,H,3,3
20/04/14,Everton,Man United,2,0,H,2,2
24/08/13,Fulham,Arsenal,1,3,A,-2,2
11/2/2013,Fulham,Man United,1,3,A,-2,2
12/4/2013,Fulham,Tottenham,1,2,A,-1,1
26/12/13,Hull,Man United,2,3,A,-1,1
2/1/2014,Hull,Tottenham,1,1,D,0,0
20/04/14,Hull,Arsenal,0,3,A,-3,3
9/1/2013,Liverpool,Man United,1,0,H,1,1
2/8/2014,Liverpool,Arsenal,5,1,H,4,4
30/03/14,Liverpool,Tottenham,4,0,H,4,4
22/09/13,Man City,Man United,4,1,H,3,3
24/11/13,Man City,Tottenham,6,0,H,6,6
14/12/13,Man City,Arsenal,6,3,H,3,3
26/08/13,Man United,Chelsea,0,0,D,0,0
14/09/13,Man United,Crystal Palace,2,0,H,2,2
28/09/13,Man United,West Brom,1,2,A,-1,1
19/10/13,Man United,Southampton,1,1,D,0,0
26/10/13,Man United,Stoke,3,2,H,1,1
11/10/2013,Man United,Arsenal,1,0,H,1,1
12/4/2013,Man United,Everton,0,1,A,-1,1
12/7/2013,Man United,Newcastle,0,1,A,-1,1
21/12/13,Man United,West Ham,3,1,H,2,2
1/1/2014,Man United,Tottenham,1,2,A,-1,1
1/11/2014,Man United,Swansea,2,0,H,2,2
28/01/14,Man United,Cardiff,2,0,H,2,2
2/9/2014,Man United,Fulham,2,2,D,0,0
16/03/14,Man United,Liverpool,0,3,A,-3,3
25/03/14,Man United,Man City,0,3,A,-3,3
29/03/14,Man United,Aston Villa,4,1,H,3,3
26/04/14,Man United,Norwich,4,0,H,4,4
5/3/2014,Man United,Sunderland,0,1,A,-1,1
5/6/2014,Man United,Hull,3,1,H,2,2
29/12/13,Newcastle,Arsenal,0,1,A,-1,1
2/12/2014,Newcastle,Tottenham,0,4,A,-4,4
4/5/2014,Newcastle,Man United,0,4,A,-4,4
28/12/13,Norwich,Man United,0,1,A,-1,1
23/02/14,Norwich,Tottenham,1,0,H,1,1
5/11/2014,Norwich,Arsenal,0,2,A,-2,2
22/12/13,Southampton,Tottenham,2,3,A,-1,1
28/01/14,Southampton,Arsenal,2,2,D,0,0
5/11/2014,Southampton,Man United,1,1,D,0,0
2/1/2014,Stoke,Man United,2,1,H,1,1
3/1/2014,Stoke,Arsenal,1,0,H,1,1
26/04/14,Stoke,Tottenham,0,1,A,-1,1
14/09/13,Sunderland,Arsenal,1,3,A,-2,2
10/5/2013,Sunderland,Man United,1,2,A,-1,1
12/7/2013,Sunderland,Tottenham,1,2,A,-1,1
17/08/13,Swansea,Man United,1,4,A,-3,3
28/09/13,Swansea,Arsenal,1,2,A,-1,1
19/01/14,Swansea,Tottenham,1,3,A,-2,2
25/08/13,Tottenham,Swansea,1,0,H,1,1
14/09/13,Tottenham,Norwich,2,0,H,2,2
28/09/13,Tottenham,Chelsea,1,1,D,0,0
10/6/2013,Tottenham,West Ham,0,3,A,-3,3
27/10/13,Tottenham,Hull,1,0,H,1,1
11/10/2013,Tottenham,Newcastle,0,1,A,-1,1
12/1/2013,Tottenham,Man United,2,2,D,0,0
15/12/13,Tottenham,Liverpool,0,5,A,-5,5
26/12/13,Tottenham,West Brom,1,1,D,0,0
29/12/13,Tottenham,Stoke,3,0,H,3,3
1/11/2014,Tottenham,Crystal Palace,2,0,H,2,2
29/01/14,Tottenham,Man City,1,5,A,-4,4
2/9/2014,Tottenham,Everton,1,0,H,1,1
3/2/2014,Tottenham,Cardiff,1,0,H,1,1
16/03/14,Tottenham,Arsenal,0,1,A,-1,1
23/03/14,Tottenham,Southampton,3,2,H,1,1
4/7/2014,Tottenham,Sunderland,5,1,H,4,4
19/04/14,Tottenham,Fulham,3,1,H,2,2
5/11/2014,Tottenham,Aston Villa,3,0,H,3,3
10/6/2013,West Brom,Arsenal,1,1,D,0,0
3/8/2014,West Brom,Man United,0,3,A,-3,3
4/12/2014,West Brom,Tottenham,3,3,D,0,0
26/12/13,West Ham,Arsenal,1,3,A,-2,2
22/03/14,West Ham,Man United,0,2,A,-2,2
5/3/2014,West Ham,Tottenham,2,0,H,2,2
